Field Mnemonic,Data License Category,Comdty,Equity,Muni,Pfd,M-Mkt,Govt,Corp,Index,Curncy,Mtge,Field Type,Width
1D_BID_SPRD_TO_BNCH_PCT_CHG,Derived Data, , , ,Pfd, ,Govt,Corp, , , ,Real,4
1D_INDICATIVE_BORROW_RATE,End of Day Pricing, ,Equity, ,Pfd, , , , , , ,Price,0
1D_INDICATIVE_LENDING_RATE,End of Day Pricing, ,Equity, ,Pfd, , , , , , ,Price,4
1D_INDICATIVE_MAXIMUM_BORROW_RT,End of Day Pricing, ,Equity, ,Pfd, , , , , , ,Price,0
1D_INDICATIVE_MAXIMUM_LENDING_RT,End of Day Pricing, ,Equity, ,Pfd, , , , , , ,Price,0
1D_INDICATIVE_MIN_BORROW_RATE,End of Day Pricing, ,Equity, ,Pfd, , , , , , ,Price,0
1D_INDICATIVE_MIN_LENDING_RATE,End of Day Pricing, ,Equity, ,Pfd, , , , , , ,Price,4
1D_NUMBER_OF_REGISTERED_SECS,End of Day Pricing, ,Equity, ,Pfd, , , , , , ,Integer,5
1D_OUTSTANDING_LOAN_CONTRACTS,End of Day Pricing, ,Equity, ,Pfd, , , , , , ,Integer,5
1M_ASK_SPRD_TO_BNCH_ABSOLUTE_CHG,Derived Data, , , ,Pfd, ,Govt,Corp, , , ,Real,5
1M_ASK_SPRD_TO_BNCH_PCT_CHG,Derived Data, , , ,Pfd, ,Govt,Corp, , , ,Real,5
1M_BID_SPRD_TO_BNCH_ABSOLUTE_CHG,Derived Data, , , ,Pfd, ,Govt,Corp, , , ,Real,5
1M_BID_SPRD_TO_BNCH_PCT_CHG,Derived Data, , , ,Pfd, ,Govt,Corp, , , ,Real,5
1M_CALL_SKEWNESS_VG,Derived Data,Comdty,Equity, , , , , ,Index,Curncy, ,Real,0
1M_SHORT_INT_NET,Security Master, ,Equity, , , , , , , , ,Integer,0
1M_SHORT_INT_PCT,Security Master, ,Equity, , , , , , , , ,Real,16
1M_SHORT_INT_VAL,Security Master, ,Equity, , , , , , , , ,Integer,0
1MO_FWD_SHIPPING_RT,End of Day Pricing, , , , , , , ,Index, , ,Price,0
1MO_FWD_SHIPPING_RT_DT,End of Day Pricing, , , , , , , ,Index, , ,Date,5
1QTR_FWD_SHIPPING_RT,End of Day Pricing, , , , , , , ,Index, , ,Price,0
1QTR_FWD_SHIPPING_RT_DT,End of Day Pricing, , , , , , , ,Index, , ,Date,24
1W_ASK_SPRD_TO_BNCH_ABSOLUTE_CHG,Derived Data, , , ,Pfd, ,Govt,Corp, , , ,Real,30
1W_ASK_SPRD_TO_BNCH_PCT_CHG,Derived Data, , , ,Pfd, ,Govt,Corp, , , ,Real,5
1W_BID_SPRD_TO_BNCH_ABSOLUTE_CHG,Derived Data, , , ,Pfd, ,Govt,Corp, , , ,Real,5
1W_BID_SPRD_TO_BNCH_PCT_CHG,Derived Data, , , ,Pfd, ,Govt,Corp, , , ,Real,50
1WK_FWD_SHIPPING_RT,End of Day Pricing, , , , , , , ,Index, , ,Price,4
1WK_FWD_SHIPPING_RT_DT,End of Day Pricing, , , , , , , ,Index, , ,Date,30
1Y_ASK_CDS_SPREAD,Derived Data, ,Equity, ,Pfd, ,Govt,Corp,Index,Curncy, ,Real,4
1Y_ASK_LOAN_CDS_SPREAD,Derived Data, ,Equity, ,Pfd, ,Govt,Corp,Index,Curncy, ,Real,30
1Y_BID_CDS_SPREAD,Derived Data, ,Equity, ,Pfd, ,Govt,Corp,Index,Curncy, ,Real,0
1Y_BID_LOAN_CDS_SPREAD,Derived Data, ,Equity, ,Pfd, ,Govt,Corp,Index,Curncy, ,Real,0
1Y_MID_CDS_SPREAD,Derived Data, ,Equity, ,Pfd, ,Govt,Corp,Index,Curncy, ,Real,0
1Y_MID_LOAN_CDS_SPREAD,Derived Data, ,Equity, ,Pfd, ,Govt,Corp,Index,Curncy, ,Real,0
1YR_ALL_IN_F&D_COSTS_BOE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
