Field Mnemonic,Data License Category,Comdty,Equity,Muni,Pfd,M-Mkt,Govt,Corp,Index,Curncy,Mtge,Field Type,Width
AHA_HCRIS_ANCILLARY_SERVICES_REV,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_ANESTHESIOLOGY_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_AUTOMOBILES_AND_TRUCKS,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_BEGINNING_DATE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Date,21
AHA_HCRIS_BLD_STOR_PRCSS_TRA_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_BUILDINGS,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_BURN_ICU_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_BURN_ICU_REVENUE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_CAFETERIA,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,8
AHA_HCRIS_CAFETERIA_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,8
AHA_HCRIS_CAP_CST_MOV_EQUIP_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,8
AHA_HCRIS_CAP_REL_CST_BLDG_FI_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,8
AHA_HCRIS_CARDIAC_CATH_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_CASH_ON_HAND_AND_BANKS,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
AHA_HCRIS_CENT_SRVCS_&_SPPLY_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_CENTRAL_SRVCS_&_SPPLY,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_CHRG_PAT_INDGNT_PROG,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_CITY,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,21
AHA_HCRIS_CLINIC_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_CMS_FY_BEGINNING_DATE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Date,21
AHA_HCRIS_CMS_FY_ENDING_DATE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Date,21
AHA_HCRIS_CONT_LABOR_PHYS_PART_A,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_CONTRACT_LABOR,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_CORONARY_CARE_UNIT_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_CORONARY_CARE_UNIT_REV,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_COST_TO_CHARGE_RATIO,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,8
AHA_HCRIS_COUNTY,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,21
AHA_HCRIS_CST_NON_MDCR_BAD_DBT,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_CT_SCAN_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_DAYS_REPORT,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Integer,21
AHA_HCRIS_DEFERRED_INCOME,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_DEPOSITS_ON_LEASES,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_DIETARY,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_DIETARY_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_DIETARY_UNDER_CONTRACT,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_DISPROP_SHARE_HOSP,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Boolean,12
AHA_HCRIS_DONOR_ENDWMT_BAL_RSTR,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_DONOR_ENDWMT_UNRSTR,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_DRUGS_CHRG_TO_PAT_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,8
AHA_HCRIS_DUE_FROM_OTHER_FUNDS,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_DUE_FROM_OWN_OFFICERS,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_DUE_TO_OTHER_FUNDS,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,8
AHA_HCRIS_DUR_MED_EQ_RENTED_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
AHA_HCRIS_DUR_MED_EQ_SOLD_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_EEG_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_ELECTROCARDIOLOGY_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,8
AHA_HCRIS_EMERGENCY_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
AHA_HCRIS_EMPLOYEE_BENEFITS,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_EMPLOYEE_BENEFITS_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_ENDING_DATE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Date,8
AHA_HCRIS_EXCLUDED_AREA_SALARIES,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
AHA_HCRIS_EXCLUDED_AREA_WAGE_REL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_FED_QUAL_HLTH_CTR_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,8
AHA_HCRIS_FIXED_EQUIPMENT,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
AHA_HCRIS_GF_BALANCE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_GIFT_SHOP_CANTEEN_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,8
AHA_HCRIS_GOV_ENDWMT_FD_BAL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
AHA_HCRIS_GOVERNMENTAL_APRO,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_GROSS_MEDICAID_REV,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,8
AHA_HCRIS_GROSS_UNCOMPD_CARE_REV,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
AHA_HCRIS_HEALTH_IT_DESIG_ASSETS,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_HEART_ACQUISITION_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,8
AHA_HCRIS_HOME_HEALTH_AGENCY_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
AHA_HCRIS_HOME_HEALTH_AGENCY_REV,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_HOME_OFF_PHYS_PART_A,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,8
AHA_HCRIS_HOME_OFF_SAL_REL_CST,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
AHA_HCRIS_HOME_OFFICE_PSNL_SAL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_HOME_PROG_DIALYSIS_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,8
AHA_HCRIS_HOSPICE_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
AHA_HCRIS_HOSPICE_REVENUE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_HOSPITAL_REVENUE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_HOUSEKEEPING,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,21
AHA_HCRIS_HOUSEKEEPING_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
AHA_HCRIS_HOUSEKEEPING_UND_CONT,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,20
AHA_HCRIS_ICU_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
AHA_HCRIS_ICU_REVENUE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
AHA_HCRIS_IMPDEV_CHRG_TO_PAT_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,20
AHA_HCRIS_INC_FROM_INVESTMENTS,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,80
AHA_HCRIS_INT_&_RES_APP_WAGE_REL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,30
AHA_HCRIS_INT_NON_APP_TEACH_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
AHA_HCRIS_INT_RES_PRG_CST_APP_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_INT_SVC_SAL_APP_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
AHA_HCRIS_INTEREST_EXPENSE_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,30
AHA_HCRIS_INTERNS_&_RES_APP_PROG,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,5
AHA_HCRIS_INTESTINAL_ACQ_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,4
AHA_HCRIS_INTRAVENOUS_THERAPY_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,30
AHA_HCRIS_INVENTORY,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,30
AHA_HCRIS_INVESTMENTS,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,4
AHA_HCRIS_ISLET_ACQUISITION_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,500
AHA_HCRIS_KIDNEY_ACQUISITION_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,100
AHA_HCRIS_LABOR_&_DELIVERY_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,10
AHA_HCRIS_LABORATORY_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_LAND,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,4
AHA_HCRIS_LAND_IMPROVEMENTS,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,4
AHA_HCRIS_LAUNDRY_&_LINEN_SVC_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,4
AHA_HCRIS_LAUNDRY_AND_LINEN_SRVC,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_LEASEHOLD_IMPROVEMENTS,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,30
AHA_HCRIS_LESS_CONT_ALLOW_PAT,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,4
AHA_HCRIS_LESS_TOTAL_OPEX,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,100
AHA_HCRIS_LIVER_ACQUISITION_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,4
AHA_HCRIS_LOANS_FROM_OWNERS,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_LUNG_ACQUISITION_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,80
AHA_HCRIS_MAINT_OF_PERSONNEL_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_MAINTENANCE_&_REP_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,80
AHA_HCRIS_MAINTENANCE_AND_REP,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,4
AHA_HCRIS_MAINTENANCE_PERSONNEL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,8
AHA_HCRIS_MAJOR_MOVABLE_EQUIP,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
AHA_HCRIS_MED_REC_&_MED_REC_LIB,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_MED_RECORDS_LIB_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_MGMT_&_ADMIN_SRVCS,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,30
AHA_HCRIS_MINOR_EQ_DEPRECIABLE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,30
AHA_HCRIS_MINOR_EQUIP_NONDEPREC,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_MISC_NON_PATIENT_REV,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_MORTGAGE_PAYABLE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_MRI_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_NAME,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,12
AHA_HCRIS_NET_INC_SRVC_TO_PAT,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_NET_PATIENT_REVENUES,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_NI_OR_L_FOR_PER_SEC_G3,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_NON_PHYS_ANESTH_PART_A,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_NON_PHYS_ANESTH_PART_B,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_NON_PHYSICIAN_PART_B,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_NON_RESTRICTED_GRANTS,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_NONPAID_WORKERS_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_NONPHYSICIAN_ANESTH_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_NOTES_&_LNS_PAY_ST,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_NOTES_PAYABLE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_NOTES_RECEIVABLE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_NPA_PART_A_WAGE_REL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_NPA_PART_B_WAGE_REL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_NURSERY_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_NURSING_ADMIN_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_NURSING_ADMINISTRATION,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_NURSING_FACILITY_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_NURSING_FACILITY_REV,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_NURSING_SCHOOL_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OBSERVATION_BEDS_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OCCUP_THERAPY_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OLD_CAP_MOV_EQUIP_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OPERATING_ROOM_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OPERATION_OF_PLANT_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OPERATION_PLANT,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OPEX_EXPENSE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OTH_NONREIMBURSABLE_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OTH_UNCOMPD_CARE_CHRG,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OTHER_ANCILLARY_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OTHER_ASSETS,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OTHER_CAP_REL_COSTS_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OTHER_CPTL_REL_COSTS,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OTHER_CURRENT_ASSETS,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OTHER_CURRENT_LIABS,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OTHER_GENERAL_SERVICE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OTHER_GENERAL_SRVC_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OTHER_LT_CARE_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OTHER_LT_CARE_REVENUE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OTHER_LT_LIABILITIES,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OTHER_ORGAN_ACQ_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OTHER_OUTPAT_SRVC_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OTHER_RECEIVABLES,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OTHER_REIMBURSABLE_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OTHER_REV_SECTION_G2,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OTHER_SPECIAL_CARE_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OTHER_SPECIAL_CARE_REV,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OTHER_SPECIAL_PURP_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OUTPAT_REHAB_PROV_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OUTPAT_REHAB_PROV_REV,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_OUTPATIENT_SRVCS_REV,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_PANCREAS_ACQ_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_PARAMEDICAL_EDU_PRG_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_PAYROLL_TAXES_PAYABLE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_PBP_LAB_SVC_PRG_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_PHARMACY,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_PHARMACY_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_PHYS_ANESTH_PART_A,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_PHYS_ANESTH_PART_B,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_PHYSICAL_THERAPY_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_PHYSICIAN_PART_A,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_PHYSICIAN_PART_B,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_PHYSICIANS_PRIV_OFF_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_PLANT_FD_BAL_INV_PLANT,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_PLNT_BAL_RES_PLNT_IMP,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_PREPAID_EXPENSES,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_PROVIDER_CTRL_TYP_CODE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Integer,12
AHA_HCRIS_PROVIDER_HOSPITAL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Integer,12
AHA_HCRIS_RADIOISOTOPE_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_RADIOLOGY_DIAG_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_RADIOLOGY_THERAP_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_RECOVERY_ROOM_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_REFERRAL_CENTER,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Boolean,12
AHA_HCRIS_RENAL_DIALYSIS_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_REPORT_RECORD_NUMBER,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Integer,12
AHA_HCRIS_RESEARCH_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_RESPIRATORY_THERAPY_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_RESTRICTED_GRANTS,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_REV_FROM_UNCOMPD_CARE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_REV_ST_CHILD_INS_PRG,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_REV_ST_INDGNT_CARE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_RURAL_HEALTH_CLINIC_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_SAL_WAGES_&_FEES_PAY,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_SKILLED_NURS_FAC_REV,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_SKILLED_NURS_FAC_SAL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_SKILLED_NURSING_FAC_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_SOCIAL_SERVICE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_SOCIAL_SERVICE_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_SPECIFIC_PURPOSE_FUND,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_SPEECH_PATHOLOGY_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_STATE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,12
AHA_HCRIS_STREET,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,12
AHA_HCRIS_SUBPROV_INPAT_PSYCH_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_SUBPROV_INPAT_PSYCH_RV,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_SUBPROV_INPAT_REHAB_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_SUBPROV_INPAT_REHAB_RV,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_SUBPROVIDER_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_SUBPROVIDER_OTHER_REV,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_SUBTOTALS_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_SUPL_CHRG_TO_PAT_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_SURGICAL_ICU_DE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_SURGICAL_ICU_REVENUE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_SWING_BED_NURS_FAC_REV,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_SWING_BED_SKLL_NURS_RV,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_TEACH_PHYS_SALARIES,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_TEACHING_CENTER,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Boolean,12
AHA_HCRIS_TEMPORARY_INVESTMENTS,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_TOT_GR_MEDICAID_CHRG,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,20
AHA_HCRIS_TOT_GROSS_MEDICAID_CST,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_TOT_IC_INPAT_HOSP_RV,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_TOT_INPAT_CARE_SVC_REV,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_TOT_INPAT_ROUT_CARE_RV,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_TOT_LIABS_&_FUND_BAL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_TOT_OTHER_EXPN_SEC_G3,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
AHA_HCRIS_TOT_ST_CHILD_INS_CST,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
